Observation Time,Temperature,RH,WS,WD,AP,Station,year,month,day,hour,day_of_year
2012-01-28 12:00:00.000000000,-0.33,34.24,4.51,155.95,982.0,Bharati,2012,1,28,12,28
2012-01-28 13:09:00.129128960,-0.44,38.07,4.19,149.7,982.02,Bharati,2012,1,28,13,28
2012-01-28 14:18:00.258258432,0.02,40.88,4.06,149.46,981.18,Bharati,2012,1,28,14,28
2012-01-28 15:27:00.387387392,-0.15,43.44,2.95,118.61,980.6,Bharati,2012,1,28,15,28
2012-01-28 16:36:00.516516864,0.06,44.14,3.14,134.17,979.63,Bharati,2012,1,28,16,28
2012-01-28 17:45:00.645646336,-0.01,44.95,5.26,162.08,978.77,Bharati,2012,1,28,17,28
2012-01-28 18:54:00.774775296,-0.45,45.08,5.99,161.67,977.67,Bharati,2012,1,28,18,28
2012-01-28 20:03:00.903904768,-1.47,46.45,6.91,173.04,976.78,Bharati,2012,1,28,20,28
2012-01-28 21:12:01.033033728,-2.64,48.3,7.73,176.25,976.0,Bharati,2012,1,28,21,28
2012-01-28 22:21:01.162163200,-3.2,46.03,8.13,177.1,975.4,Bharati,2012,1,28,22,28
2012-01-28 23:30:01.291292160,-3.51,42.65,8.74,174.12,974.62,Bharati,2012,1,28,23,28
2012-01-29 00:39:01.420421632,-3.61,40.92,9.09,172.05,974.0,Bharati,2012,1,29,0,29
2012-01-29 01:48:01.549551104,-3.85,42.39,8.58,174.54,973.07,Bharati,2012,1,29,1,29
2012-01-29 02:57:01.678680064,-4.44,44.62,10.07,175.72,972.28,Bharati,2012,1,29,2,29
2012-01-29 04:06:01.807809024,-5.11,46.86,10.5,176.11,971.15,Bharati,2012,1,29,4,29
2012-01-29 05:15:01.936938496,-5.21,46.36,10.67,176.78,970.12,Bharati,2012,1,29,5,29
2012-01-29 06:24:02.066067456,-5.06,46.38,10.84,175.4,969.47,Bharati,2012,1,29,6,29
2012-01-29 07:33:02.195196928,-4.98,47.41,12.45,174.45,968.53,Bharati,2012,1,29,7,29
