Temperature,RH,WS,WD,AP,year,month,day,hour,day_of_year,target_temperature
-0.33,34.24,4.51,155.95,982.0,2012,1,28,12,28,-0.44
-0.44,38.07,4.19,149.7,982.02,2012,1,28,13,28,0.02
0.02,40.88,4.06,149.46,981.18,2012,1,28,14,28,-0.15
-0.15,43.44,2.95,118.61,980.6,2012,1,28,15,28,0.06
0.06,44.14,3.14,134.17,979.63,2012,1,28,16,28,-0.01
-0.01,44.95,5.26,162.08,978.77,2012,1,28,17,28,-0.45
-0.45,45.08,5.99,161.67,977.67,2012,1,28,18,28,-1.47
-1.47,46.45,6.91,173.04,976.78,2012,1,28,20,28,-2.64
-2.64,48.3,7.73,176.25,976.0,2012,1,28,21,28,-3.2
-3.2,46.03,8.13,177.1,975.4,2012,1,28,22,28,-3.51
-3.51,42.65,8.74,174.12,974.62,2012,1,28,23,28,-3.61
-3.61,40.92,9.09,172.05,974.0,2012,1,29,0,29,-3.85
-3.85,42.39,8.58,174.54,973.07,2012,1,29,1,29,-4.44
-4.44,44.62,10.07,175.72,972.28,2012,1,29,2,29,-5.11
-5.11,46.86,10.5,176.11,971.15,2012,1,29,4,29,-5.21
-5.21,46.36,10.67,176.78,970.12,2012,1,29,5,29,-5.06
-5.06,46.38,10.84,175.4,969.47,2012,1,29,6,29,-4.98
-4.98,47.41,12.45,174.45,968.53,2012,1,29,7,29,-4.43
-4.43,50.49,12.73,174.06,967.93,2012,1,29,8,29,-3.88
-3.88,54.35,12.34,174.15,967.0,2012,1,29,9,29,-3.3
-3.3,59.42,13.3,173.74,966.03,2012,1,29,11,29,-2.96
-2.96,60.29,14.36,173.37,965.0,2012,1,29,12,29,-2.3
-2.3,58.76,14.65,172.17,964.17,2012,1,29,13,29,-1.79
-1.79,62.4,14.04,171.66,964.0,2012,1,29,14,29,-1.13
-1.13,61.14,12.39,173.87,963.8,2012,1,29,15,29,0.52
0.52,47.68,11.53,170.17,963.0,2012,1,29,16,29,1.12
1.12,43.8,12.29,168.99,962.47,2012,1,29,17,29,1.12
1.12,43.46,12.74,169.97,962.23,2012,1,29,19,29,0.99
0.99,45.29,13.33,166.65,962.52,2012,1,29,20,29,0.63
0.63,49.65,12.43,168.6,962.87,2012,1,29,21,29,0.65
0.65,49.3,10.36,164.09,963.0,2012,1,29,22,29,0.23
0.23,50.33,8.41,155.93,963.42,2012,1,29,23,29,-0.21
-0.21,54.02,8.78,155.27,964.0,2012,1,30,0,30,-0.58
-0.58,55.87,8.24,151.6,964.52,2012,1,30,1,30,-0.68
-0.68,54.91,7.3,151.84,965.0,2012,1,30,3,30,-0.82
-0.82,55.59,7.0,158.68,965.17,2012,1,30,4,30,-0.94
-0.94,56.27,7.09,162.16,966.0,2012,1,30,5,30,-1.11
-1.11,56.36,6.98,161.47,966.95,2012,1,30,6,30,-1.26
-1.26,55.9,7.09,152.99,967.78,2012,1,30,7,30,-1.24
-1.24,54.92,7.3,153.65,968.62,2012,1,30,8,30,-1.44
-1.44,57.38,9.34,160.11,969.1,2012,1,30,10,30,-1.41
-1.41,60.34,8.38,158.53,970.18,2012,1,30,11,30,-1.15
-1.15,58.59,7.01,155.36,971.25,2012,1,30,12,30,-0.99
-0.99,58.36,6.54,155.7,972.1,2012,1,30,13,30,-0.76
-0.76,57.77,6.08,157.17,973.07,2012,1,30,14,30,-0.79
-0.79,58.59,7.67,157.74,974.0,2012,1,30,15,30,-0.67
-0.67,62.65,6.91,161.13,975.0,2012,1,30,16,30,-0.28
