Observation Time,Temperature,AP,WS,Station,year,month,day,hour,day_of_year
2008-01-01 00:00:00,-2.5999999,954.799988,54.9000015,Maitri,2008,1,1,0,1
2008-01-01 01:00:00,-1.60000002,954.799988,50.7999992,Maitri,2008,1,1,1,1
2008-01-01 02:00:00,-0.699999988,954.700012,38.5,Maitri,2008,1,1,2,1
2008-01-01 03:00:00,-0.200000003,954.700012,36.5999985,Maitri,2008,1,1,3,1
2008-01-01 04:00:00,0.100000001,954.5,35.5999985,Maitri,2008,1,1,4,1
2008-01-01 05:00:00,1.0,954.0,49.5,Maitri,2008,1,1,5,1
2008-01-01 06:00:00,1.0,953.5,54.5999985,Maitri,2008,1,1,6,1
2008-01-01 07:00:00,2.20000005,953.299988,14.6000004,Maitri,2008,1,1,7,1
2008-01-01 08:00:00,3.0999999,953.0,10.3999996,Maitri,2008,1,1,8,1
2008-01-01 09:00:00,2.5,952.799988,61.0999985,Maitri,2008,1,1,9,1
2008-01-01 10:00:00,2.0999999,952.200012,43.7999992,Maitri,2008,1,1,10,1
2008-01-01 11:00:00,1.89999998,951.700012,65.9000015,Maitri,2008,1,1,11,1
2008-01-01 12:00:00,2.70000005,951.299988,100.300003,Maitri,2008,1,1,12,1
2008-01-01 13:00:00,3.20000005,950.900024,97.5,Maitri,2008,1,1,13,1
2008-01-01 14:00:00,4.0,950.5,92.0999985,Maitri,2008,1,1,14,1
2008-01-01 15:00:00,3.20000005,950.0,96.8000031,Maitri,2008,1,1,15,1
2008-01-01 16:00:00,3.20000005,949.400024,87.0999985,Maitri,2008,1,1,16,1
2008-01-01 17:00:00,2.4000001,949.0,8.60000038,Maitri,2008,1,1,17,1
2008-01-01 18:00:00,3.4000001,948.599976,41.0,Maitri,2008,1,1,18,1
2008-01-01 19:00:00,2.5999999,948.099976,20.2999992,Maitri,2008,1,1,19,1
2008-01-01 20:00:00,1.10000002,947.599976,29.8999996,Maitri,2008,1,1,20,1
2008-01-01 21:00:00,1.70000005,946.900024,34.7999992,Maitri,2008,1,1,21,1
2008-01-01 22:00:00,-0.300000012,946.299988,37.7999992,Maitri,2008,1,1,22,1
2008-01-01 23:00:00,-1.5,946.700012,54.5,Maitri,2008,1,1,23,1
2008-01-02 00:00:00,-2.0999999,947.0,22.6000004,Maitri,2008,1,2,0,2
2008-01-02 01:00:00,-1.39999998,946.5,36.0999985,Maitri,2008,1,2,1,2
2008-01-02 02:00:00,-1.29999995,946.0,47.7000008,Maitri,2008,1,2,2,2
2008-01-02 03:00:00,-0.899999976,945.799988,47.2999992,Maitri,2008,1,2,3,2
2008-01-02 04:00:00,-0.5,945.400024,44.5,Maitri,2008,1,2,4,2
2008-01-02 05:00:00,0.100000001,944.799988,38.0,Maitri,2008,1,2,5,2
2008-01-02 06:00:00,0.100000001,944.5,32.7999992,Maitri,2008,1,2,6,2
2008-01-02 07:00:00,1.0,944.400024,22.3999996,Maitri,2008,1,2,7,2
2008-01-02 08:00:00,2.29999995,944.299988,26.8999996,Maitri,2008,1,2,8,2
2008-01-02 09:00:00,2.0,943.900024,18.7999992,Maitri,2008,1,2,9,2
2008-01-02 10:00:00,2.4000001,943.799988,16.0,Maitri,2008,1,2,10,2
