Temperature,AP,WS,year,month,day,hour,day_of_year,target_temperature
-2.5999999,954.799988,54.9000015,2008,1,1,0,1,-1.60000002
-1.60000002,954.799988,50.7999992,2008,1,1,1,1,-0.699999988
-0.699999988,954.700012,38.5,2008,1,1,2,1,-0.200000003
-0.200000003,954.700012,36.5999985,2008,1,1,3,1,0.100000001
0.100000001,954.5,35.5999985,2008,1,1,4,1,1.0
1.0,954.0,49.5,2008,1,1,5,1,1.0
1.0,953.5,54.5999985,2008,1,1,6,1,2.20000005
2.20000005,953.299988,14.6000004,2008,1,1,7,1,3.0999999
3.0999999,953.0,10.3999996,2008,1,1,8,1,2.5
2.5,952.799988,61.0999985,2008,1,1,9,1,2.0999999
2.0999999,952.200012,43.7999992,2008,1,1,10,1,1.89999998
1.89999998,951.700012,65.9000015,2008,1,1,11,1,2.70000005
2.70000005,951.299988,100.300003,2008,1,1,12,1,3.20000005
3.20000005,950.900024,97.5,2008,1,1,13,1,4.0
4.0,950.5,92.0999985,2008,1,1,14,1,3.20000005
3.20000005,950.0,96.8000031,2008,1,1,15,1,3.20000005
3.20000005,949.400024,87.0999985,2008,1,1,16,1,2.4000001
2.4000001,949.0,8.60000038,2008,1,1,17,1,3.4000001
3.4000001,948.599976,41.0,2008,1,1,18,1,2.5999999
2.5999999,948.099976,20.2999992,2008,1,1,19,1,1.10000002
1.10000002,947.599976,29.8999996,2008,1,1,20,1,1.70000005
1.70000005,946.900024,34.7999992,2008,1,1,21,1,-0.300000012
-0.300000012,946.299988,37.7999992,2008,1,1,22,1,-1.5
-1.5,946.700012,54.5,2008,1,1,23,1,-2.0999999
-2.0999999,947.0,22.6000004,2008,1,2,0,2,-1.39999998
-1.39999998,946.5,36.0999985,2008,1,2,1,2,-1.29999995
-1.29999995,946.0,47.7000008,2008,1,2,2,2,-0.899999976
-0.899999976,945.799988,47.2999992,2008,1,2,3,2,-0.5
-0.5,945.400024,44.5,2008,1,2,4,2,0.100000001
0.100000001,944.799988,38.0,2008,1,2,5,2,0.100000001
0.100000001,944.5,32.7999992,2008,1,2,6,2,1.0
1.0,944.400024,22.3999996,2008,1,2,7,2,2.29999995
2.29999995,944.299988,26.8999996,2008,1,2,8,2,2.0
2.0,943.900024,18.7999992,2008,1,2,9,2,2.4000001
2.4000001,943.799988,16.0,2008,1,2,10,2,2.29999995
2.29999995,943.5,14.6999998,2008,1,2,11,2,1.79999995
1.79999995,943.599976,9.30000019,2008,1,2,12,2,1.29999995
1.29999995,943.599976,53.7000008,2008,1,2,13,2,2.4000001
2.4000001,943.299988,18.2999992,2008,1,2,14,2,2.4000001
2.4000001,943.0,32.0,2008,1,2,15,2,0.699999988
0.699999988,942.900024,67.5999985,2008,1,2,16,2,1.89999998
1.89999998,942.700012,78.5999985,2008,1,2,17,2,1.20000005
1.20000005,942.5,94.5999985,2008,1,2,18,2,2.0999999
2.0999999,942.599976,90.9000015,2008,1,2,19,2,0.5
0.5,942.599976,81.0,2008,1,2,20,2,0.5
0.5,942.700012,64.0999985,2008,1,2,21,2,-2.4000001
-2.4000001,943.0,25.5,2008,1,2,22,2,-3.5
-3.5,943.599976,24.0,2008,1,2,23,2,-3.20000005
-3.20000005,943.900024,19.1000004,2008,1,3,0,3,-3.20000005
-3.20000005,944.099976,33.2000008,2008,1,3,1,3,-2.0999999
-2.0999999,944.599976,16.7999992,2008,1,3,2,3,-2.0
-2.0,944.700012,33.2000008,2008,1,3,3,3,-1.20000005
-1.20000005,945.299988,33.0999985,2008,1,3,4,3,0.300000012
0.300000012,945.799988,25.6000004,2008,1,3,5,3,1.29999995
1.29999995,946.299988,8.69999981,2008,1,3,6,3,2.5
2.5,947.099976,7.80000019,2008,1,3,7,3,1.29999995
1.29999995,948.200012,14.3000002,2008,1,3,8,3,0.300000012
0.300000012,949.299988,16.5,2008,1,3,9,3,0.699999988
0.699999988,950.099976,11.1000004,2008,1,3,10,3,1.29999995
1.29999995,950.700012,7.9000001,2008,1,3,11,3,1.39999998
1.39999998,951.200012,4.5999999,2008,1,3,12,3,1.20000005
1.20000005,951.5,38.2999992,2008,1,3,13,3,1.20000005
1.20000005,951.900024,82.0999985,2008,1,3,14,3,1.60000002
1.60000002,952.200012,78.6999969,2008,1,3,15,3,1.10000002
1.10000002,952.5,89.1999969,2008,1,3,16,3,1.60000002
1.60000002,952.900024,92.1999969,2008,1,3,17,3,1.5
1.5,953.200012,83.5999985,2008,1,3,18,3,1.0
